Type,Name,Ident,Latitude,Longitude,Elevation,Magnetic Declination,Tags,Description,Region,Visible From,Last Edit,Import Filename
POI,Canyon Rush - Landing Pad 1,Canyon Rush - Landing Pad 1,10.27320,28.49060,2150,3.15375,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Canyon Rush - Landing Pad 2,Canyon Rush - Landing Pad 2,10.34050,28.54800,1855,3.15866,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Canyon Rush - Landing Pad 3,Canyon Rush - Landing Pad 3,10.32480,28.59990,1775,3.15671,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Canyon Rush Start,Canyon Rush Start,10.22370,28.50720,2645,3.14940,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Coriolis Storm Escape - Crash Site,Coriolis Storm Escape - Crash Site,6.33860,24.23660,450,2.54128,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Coriolis Storm Escape - Follow The Canyon 1,Coriolis Storm Escape - Follow The Canyon 1,6.37590,24.25240,1160,2.54263,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Coriolis Storm Escape - Follow The Canyon 2,Coriolis Storm Escape - Follow The Canyon 2,6.40610,24.27990,1100,2.54363,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Coriolis Storm Escape - The Base,Coriolis Storm Escape - The Base,6.45600,24.31010,600,2.54613,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Coriolis Storm Escape Start,Coriolis Storm Escape Start,6.26060,24.29630,1672,2.53480,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Desert Run - Landing Pad 1,Desert Run - Landing Pad 1,6.62940,26.59450,1535,2.72720,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Desert Run - Landing Pad 2,Desert Run - Landing Pad 2,6.63960,26.48530,1005,2.72614,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Desert Run - Landing Pad 3,Desert Run - Landing Pad 3,6.68120,26.43160,780,2.72891,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Desert Run Start,Desert Run Start,6.66050,26.63410,2920,2.73165,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Hole-in-the-Rock - Landing Pad 1,Hole-in-the-Rock - Landing Pad 1,12.04250,23.52240,4860,2.90930,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Hole-in-the-Rock - Landing Pad 2,Hole-in-the-Rock - Landing Pad 2,12.03470,23.43890,670,2.91767,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Hole-in-the-Rock - Landing Pad 3,Hole-in-the-Rock - Landing Pad 3,12.05110,23.33860,505,2.92900,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Hole-in-the-Rock Start,Hole-in-the-Rock Start,12.08520,23.54400,6360,2.91050,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Mountain Dive - Landing Pad 1,Mountain Dive - Landing Pad 1,15.68540,15.14250,11135,1.99396,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Mountain Dive - Landing Pad 2,Mountain Dive - Landing Pad 2,15.65910,15.12170,5395,1.99366,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Mountain Dive - Landing Pad 3,Mountain Dive - Landing Pad 3,15.59440,15.11110,1350,1.99571,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Mountain Dive Start,Mountain Dive Start,15.73140,15.18240,11435,1.99563,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Race to Arrakeen - Landing Pad 1,Race to Arrakeen - Landing Pad 1,14.83730,24.29240,3009,3.19965,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Race to Arrakeen - Landing Pad 2,Race to Arrakeen - Landing Pad 2,14.92320,24.35240,2858,3.20692,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Race to Arrakeen - Landing Pad 3,Race to Arrakeen - Landing Pad 3,14.97650,24.34120,2460,3.20793,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Race to Arrakeen Start,Race to Arrakeen Start,14.83760,24.19860,900,3.19348,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Unknown/Random Landing Pad #1,Unknown/Random Landing Pad #1,15.87090,23.80480,891,3.20179,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T20:34:04.246-04:00,
POI,Unknown/Random Landing Pad #2,Unknown/Random Landing Pad #2,15.61280,23.80650,7220,3.16639,MSFS-Dune-Arrakis-POI-LittleNavMap,,,250,2024-06-19T17:28:40.957-04:00,
